"sys_SequentialRespondentNumber","compcode","workerid","sys_StartTime","sys_EndTime","sys_ElapsedTime","sys_InternalRespNum","sys_CBCVersion_CBC","user","mtwid","consent1_1","consent2_1","consent3_1","pastbuyer","futurebuyer","primarybuyer","quota","CarMake","CarModel","VehicleOwnership","dailyvmt","annualvmt","carsizeselect","carimagesmall","carimagemid","carimagelarge","Topcarsmall_1","Topcarsmall_2","Topcarsmall_3","Topcarsmall_4","Topcarsmall_5","Topcarsmall_6","Topcarsmall_7","Topcarsmall_8","Topcarmid_1","Topcarmid_2","Topcarmid_3","Topcarmid_4","Topcarmid_5","Topcarmid_6","Topcarmid_7","Topcarmid_8","Topcarlarge_1","Topcarlarge_2","Topcarlarge_3","Topcarlarge_4","Topcarlarge_5","Topcarlarge_6","Topcarlarge_7","Topcarlarge_8","CBCFIX1","CBCRAN1","CBCRAN2","CBCRAN3","CBCRAN4","CBCRAN5","CBCRAN6","CBCRAN7","CBCRAN8","CBCRAN9","CBCRAN10","CBCRAN11","CBCRAN12","CBCRAN13","CBCRAN14","CBCRAN15","productuseratings_r1","productuseratings_r2","productuseratings_r3","productuseratings_r4","productuseratings_r5","productuseratings_r6","EnvLifeRatings_r1","EnvLifeRatings_r2","EnvLifeRatings_r3","EnvLifeRatings_r4","DrivingTypeExper_1","DrivingTypeExper_2","DrivingTypeExper_3","DrivingTypeExper_4","DrivingTypeExper_5","consideration_1","consideration_2","consideration_3","consideration_4","consideration_5","parkingHomeGarage","parkingHomeStructure","parkingHomeDriveway","parkingHomeStreet","parkingHomeOther","slowchargingaccess_1","slowchargingaccess_2","slowchargingaccess_3","slowchargingaccess_4","slowchargingaccess_5","slowchargingaccess_6","slowchargingaccess_7","slowchargingaccess_8","slowchargingaccess_9","fastchargingaccess","brandrank1","brankrank2","brandrank3","maintenance","income","sex","householdsize","YOB","zipcode","education","children","marriage","sys_RespStatus","sys_DispositionCode","sys_UserAgent","sys_Browser","sys_OperatingSystem","sys_IPAddress","sys_UserJavaScript","comments"
1,"484088369","ABY1RK8H6HC8C",2012-9-17 15:48,2012-9-17 15:57,501,13,4,"3f2jk9","",1,1,1,2,2,3,2,10,"Pilot",2,3,4,2,,4,,,,,,,,,,4,,,,,,,,,,,,,,,,2,2,3,1,3,1,2,2,2,2,2,1,1,1,2,2,5,5,5,,1,4,4,3,3,3,1,0,0,0,0,1,0,0,0,0,3,1,3,5,1,1,0,0,0,0,0,0,0,0,3,10,21,7,4,10,2,6,,"",3,5,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0.1","Firefox 15.0.1","Windows NT 6.1","74.139.122.179",1,""
2,"632189934","Travis Clarke",2012-9-17 19:02,2012-9-17 19:10,499,16,7,"3f2jk9","",1,1,1,2,4,1,1,24,"Dodge Ram 1500",2,5,4,3,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,2,1,2,1,2,2,1,1,3,3,2,2,1,1,3,3,5,3,3,3,4,4,4,3,2,4,1,2,0,0,0,1,2,0,4,0,3,6,3,6,6,0,2,0,0,0,0,7,0,9,1,2,3,6,4,7,1,2,46,"37076",5,1,2,5,,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; InfoPath.2; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)","MSIE 8.0","Windows XP","208.185.48.23",1,""
3,"657310577","APSUBE301W0JO",2012-9-17 14:13,2012-9-17 14:26,769,11,2,"3f2jk9","",1,1,1,3,3,1,5,14,"MPV",4,3,6,1,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,2,3,2,1,3,3,1,2,2,3,3,1,4,4,5,4,2,2,2,3,5,5,1,2,0,0,0,1,2,3,4,0,6,6,6,6,7,1,0,3,0,0,0,0,0,0,2,21,19,14,5,11,1,6,32,"06250",3,3,1,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0.1","Firefox 15.0.1","Windows NT 6.1","108.247.169.160",1,""
4,"435667379","A3EYWJCIO1MG9W",2012-9-17 15:40,2012-9-17 15:50,578,12,3,"3f2jk9","",1,1,1,3,2,1,3,6,"Blazer",4,4,4,1,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,1,1,3,3,1,3,1,3,2,3,1,3,3,5,3,4,3,2,4,3,2,4,4,1,2,0,0,0,1,2,0,0,0,3,6,3,4,1,1,0,0,0,0,0,0,0,0,3,21,6,7,5,7,1,5,47,"80031",3,1,1,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1","Chrome 21.0.1180.89","Windows NT 6.1","75.166.202.9",1,""
5,"228614413","A3Q9PT0RP133GV",2012-9-17 16:21,2012-9-17 16:32,629,14,5,"3f2jk9","",1,1,1,2,3,3,2,17,"Murano",2,6,10,2,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,2,3,1,1,1,1,1,3,3,3,1,3,2,3,2,2,4,3,3,4,3,3,2,3,4,3,1,0,0,0,0,0,2,3,4,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,3,17,21,3,5,10,2,2,46,"21209",3,1,3,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0.1","Firefox 15.0.1","Windows NT 6.1","98.233.229.125",1,"thanks for the survey"
6,"733620962","A8LEPWQTNYZ2Y",2012-9-17 17:34,2012-9-17 18:01,1641,15,6,"3f2jk9","",1,1,1,3,3,1,5,7,"Dodge Avenger",2,3,9,2,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,2,3,1,1,3,2,3,3,2,2,2,3,3,1,3,3,5,4,4,5,1,4,4,1,1,2,1,0,0,0,0,1,2,3,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,3,5,8,6,3,6,1,3,44,"37042",6,2,2,5,,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1","Chrome 21.0.1180.89","Windows Vista) AppleWebKit/537.1 (KHTML, like Gecko","24.159.54.227",1,""
7,"169952979","A2VX8B1CJXRN2",2012-9-17 21:12,2012-9-17 21:28,962,20,11,"3f2jk9","",1,1,1,3,2,1,3,8,"Freestyle",3,4,2,2,,7,,,,,,,,,,7,,,,,,,,,,,,,,,,2,2,3,2,1,1,2,3,2,1,3,2,2,1,3,2,5,4,5,5,3,5,4,3,5,5,1,0,0,0,0,1,2,3,4,0,1,1,4,3,1,0,0,3,0,0,0,0,0,0,3,8,6,21,4,9,2,4,23,"02053",4,3,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0.1","Firefox 15.0.1","Windows NT 6.1","173.48.101.100",1,""
8,"629584704","A31V3MMKUWZOP1",2012-9-18 02:23,2012-9-18 02:32,545,24,15,"3f2jk9","",1,1,1,3,3,1,5,6,"Suburbn",3,9,6,1,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,3,2,3,1,1,2,3,3,1,1,2,2,1,4,4,5,4,4,5,4,2,2,4,1,2,0,0,0,1,2,3,0,0,4,7,4,5,7,1,0,0,0,0,0,0,0,0,3,9,7,3,5,10,1,4,38,"78681",5,3,2,5,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.82 Safari/537.1","Chrome 21.0.1180.82","Macintosh","72.182.2.156",1,""
9,"748918542","AVAQ3OJDLSTLQ",2012-9-17 22:52,2012-9-17 23:05,783,22,13,"3f2jk9","",1,1,1,3,3,3,6,24,"Dodge Grand Caravan",3,3,3,3,,,8,,,,,,,,,,,,,,,,,8,,,,,,,,2,3,2,1,2,1,2,2,2,1,2,3,3,3,3,1,5,4,5,5,2,4,3,2,4,4,1,0,0,0,0,1,2,3,0,0,4,3,4,1,1,1,0,0,0,0,0,0,0,0,3,10,21,17,4,7,2,5,34,"85249",5,4,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1","Chrome 21.0.1180.89","Windows NT 6.1","68.2.28.151",1,"Thank you for allowing me to participate."
10,"924234541","A2JIMXT1XX2EO2",2012-9-17 20:26,2012-9-17 20:39,759,18,9,"3f2jk9","",1,1,1,2,3,1,1,21,"RAV4",3,2,1,1,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,3,2,2,1,3,3,1,1,2,3,2,2,1,5,4,5,5,3,3,1,4,5,5,0,2,0,0,0,1,2,3,0,0,1,1,3,5,1,0,0,3,0,0,0,0,8,9,3,21,10,14,3,5,2,3,41,"97213",6,2,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1","Chrome 21.0.1180.89","Windows NT 6.1","70.57.115.70",1,""
11,"186598673","A19JQ9FM94JP8D",2012-9-18 02:49,2012-9-18 03:04,891,25,16,"3f2jk9","",1,1,1,2,4,1,1,21,"Tacoma",4,6,4,3,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,2,3,3,1,1,3,2,1,3,2,1,1,3,3,3,2,5,5,5,2,3,5,2,1,4,3,1,2,3,0,0,1,2,3,0,0,3,1,5,5,7,1,0,3,0,0,0,0,0,0,3,6,21,7,4,7,1,3,49,"23320",5,1,,5,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1","Chrome 21.0.1180.89","Macintosh","68.57.44.166",1,""
12,"288350493","A1187158W5PQ0P",2012-9-17 22:33,2012-9-17 22:46,820,21,12,"3f2jk9","",1,1,1,3,3,1,5,11,"Elantra",3,4,1,1,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,3,2,1,3,2,1,3,2,1,1,1,1,3,5,4,5,4,3,3,3,1,3,4,1,2,0,0,0,1,2,3,0,0,3,1,2,2,1,1,0,3,0,0,0,0,0,0,2,2,19,11,4,10,1,1,32,"98030",5,1,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1","Chrome 21.0.1180.89","Windows NT 6.1","128.95.19.98",1,""
13,"263229850","A1L77K0EBMR94K",2012-9-18 05:29,2012-9-18 05:46,1040,26,17,"3f2jk9","",1,1,1,3,2,3,4,21,"Camry",4,9,9,1,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,3,1,1,1,3,1,1,3,2,3,2,2,3,5,4,5,5,2,4,3,3,3,4,1,2,0,0,0,1,2,0,0,0,3,7,3,3,7,1,0,0,0,0,0,0,0,0,2,21,10,24,3,7,1,2,20,"93446",4,1,2,5,,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; GTB7.4; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30)","MSIE 7.0","Windows XP","75.15.129.198",1,""
14,"162169704","AHJQDF8PAHVDP",2012-9-18 07:51,2012-9-18 08:05,869,32,23,"3f2jk9","",1,1,1,3,2,1,3,21,"Carolla",3,6,4,3,,,7,,,,,,,,,,,,,,,,,7,,,,,,,,2,2,3,1,1,1,3,1,3,2,3,1,3,2,1,3,5,4,5,5,4,5,5,4,5,5,1,2,0,0,0,0,0,3,4,0,4,5,4,4,5,1,0,0,0,0,0,0,0,0,,15,13,5,4,7,2,3,35,"33417",6,2,2,5,,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1","Chrome 21.0.1180.89","Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko","50.140.65.252",1,"None"
15,"539576384","A3CGQOJC28OVGN",2012-9-18 16:01,2012-9-18 16:12,658,35,26,"3f2jk9","",1,1,1,3,2,3,4,9,"Envoy",2,5,8,3,,,6,,,,,,,,,,,,,,,,,6,,,,,,,,2,1,3,1,3,2,3,1,1,3,2,1,1,1,3,3,4,4,5,5,2,4,1,4,5,5,1,2,0,0,0,1,2,0,4,0,1,1,5,1,1,0,0,3,0,5,0,0,0,0,3,9,15,3,1,8,1,6,37,"73632",5,3,3,5,,"Mozilla/5.0 (Windows NT 5.2; rv:15.0) Gecko/20100101 Firefox/15.0.1","Firefox 15.0.1","Windows NT 5.2","108.237.4.33",1,""
16,"130554994","A2O5CF8KIR9BWX",2012-9-18 14:41,2012-9-18 14:49,491,34,25,"3f2jk9","",1,1,1,2,4,3,2,17,"Murano",2,3,10,3,,,4,,,,,,,,,,,,,,,,,4,,,,,,,,2,3,3,3,2,1,3,1,1,3,3,3,2,3,2,3,5,4,4,5,1,3,2,2,3,2,1,0,0,0,0,1,2,0,0,0,4,3,4,5,3,1,2,3,0,0,0,0,0,0,,17,21,9,4,7,2,3,45,"59901",6,2,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0.1","Firefox 15.0.1","Windows NT 6.1","72.175.32.44",1,""
17,"203244367","A2CT0R9BEDYN6I",2012-9-18 07:09,2012-9-18 07:26,1010,30,21,"3f2jk9","",1,1,1,2,3,1,1,21,"Land Cruiser",3,9,9,2,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,2,1,3,3,2,3,3,2,2,1,1,2,1,2,1,1,3,4,5,5,4,4,3,2,4,4,1,2,3,4,0,1,2,3,0,0,2,2,2,2,2,1,0,0,0,0,0,0,0,0,3,15,3,2,3,11,1,3,35,"05443",6,2,2,5,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_8) AppleWebKit/534.50.2 (KHTML, like Gecko) Version/5.0.6 Safari/533.22.3","Safari 533.22.3","Macintosh","78.101.20.117",1,""
18,"819390411","A341KLOTTTS5I4",2012-9-18 07:36,2012-9-18 07:51,874,31,22,"3f2jk9","",1,1,1,3,3,1,5,8,"F150",2,5,2,2,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,2,3,2,3,2,2,2,1,1,3,2,2,3,3,1,2,5,3,5,4,3,4,4,3,4,3,1,0,0,0,0,1,2,3,0,0,3,1,3,1,1,1,0,3,0,0,0,0,0,0,2,8,9,24,2,6,1,1,35,"32966",4,1,1,5,,"Mozilla/5.0 (Windows NT 5.1; rv:15.0) Gecko/20100101 Firefox/15.0.1","Firefox 15.0.1","Windows XP","99.14.185.42",1,""
19,"105935482","ASEM9TEU6XFCM",2012-9-18 14:40,2012-9-18 14:49,493,33,24,"3f2jk9","",1,1,1,2,4,1,1,17,"Rogue",3,4,4,1,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,3,2,3,3,1,2,1,1,1,1,1,2,5,4,5,5,3,4,2,3,5,5,1,0,0,0,0,1,2,3,4,0,3,1,3,3,1,1,0,0,0,0,6,0,0,0,3,10,21,8,3,10,1,2,43,"85250",4,1,3,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1","Chrome 21.0.1180.89","Windows NT 6.1","68.228.214.227",1,""
20,"285158097","A29WA8CIXIIFRE",2012-9-18 06:59,2012-9-18 07:15,991,28,19,"3f2jk9","",1,1,1,3,2,3,4,6,"Aveo",3,2,1,1,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,1,2,1,2,2,3,2,2,2,1,3,2,2,5,3,5,5,2,3,2,2,4,5,1,0,0,0,0,1,2,0,0,0,3,1,1,1,1,1,0,0,0,0,0,0,0,0,3,12,6,10,1,5,2,3,44,"98512",2,2,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0.1","Firefox 15.0.1","Windows NT 6.1","76.121.129.73",1,""
21,"341093487","A3O4XM3IGW1SR2",2012-9-18 06:36,2012-9-18 06:47,645,27,18,"3f2jk9","",1,1,1,3,2,1,3,3,"x5",3,8,7,3,,,4,,,,,,,,,,,,,,,,,4,,,,,,,,2,2,3,1,3,3,2,2,1,2,3,3,3,2,2,2,4,5,4,5,5,5,4,1,1,1,1,2,0,0,0,1,0,0,0,0,3,7,3,7,7,1,0,0,0,0,0,0,0,0,3,3,15,1,5,7,2,2,42,"23226",5,1,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1","Chrome 21.0.1180.89","Windows NT 6.1","105.250.41.200",1,""
22,"","",2012-9-18 07:08,2012-9-18 07:09,29,29,,"3f2jk9","",1,1,1,1,4,1,-1,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,4,,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:14.0) Gecko/20100101 Firefox/14.0.1","Firefox 14.0.1","Windows NT 6.1","119.158.74.18",1,""
23,"125741247","A2ZVH7ZX0S9UZS",2012-9-18 19:42,2012-9-18 19:57,919,370,27,"3f2jk9","",1,1,1,1,3,3,6,1,"",1,11,11,2,,8,,,,,,,,,,8,,,,,,,,,,,,,,,,2,1,3,3,3,3,1,3,1,1,1,2,3,1,1,3,5,4,4,5,1,4,4,2,4,3,1,0,0,0,0,1,2,3,4,0,3,1,5,3,1,1,0,0,0,0,0,0,0,0,3,5,15,17,4,12,1,4,46,"77479",5,1,1,5,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.55.3 (KHTML, like Gecko) Version/5.1.5 Safari/534.55.3","Safari 534.55.3","Macintosh","98.199.74.23",1,""
24,"181153589","AYQZD1JLNYQ3M",2012-9-19 00:48,2012-9-19 00:56,470,371,28,"3f2jk9","",1,1,1,2,2,1,1,8,"Mustang Roush",3,3,5,3,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,2,2,2,2,1,2,2,2,1,2,1,1,1,1,3,1,5,3,5,4,3,4,4,3,4,4,1,2,0,0,0,1,2,3,4,0,3,1,3,6,5,1,0,0,0,5,0,7,0,0,3,2,3,9,1,1,1,2,45,"95630",5,1,1,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1","Chrome 21.0.1180.89","Windows NT 6.1","24.7.175.0",1,""
25,"374180337","A32RNC5NJDY693",2012-9-19 18:34,2012-9-19 18:41,418,373,30,"3f2jk9","",1,1,1,2,3,1,1,7,"Town and Country",3,1,1,3,,,7,,,,,,,,,,,,,,,,,7,,,,,,,,2,2,2,2,2,1,1,3,3,3,2,2,2,2,2,2,5,5,5,5,5,3,4,4,4,4,0,0,0,0,5,0,2,0,0,0,3,7,4,3,7,1,0,0,0,0,0,0,0,0,3,8,9,6,2,6,2,5,48,"61554",3,4,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1","Chrome 21.0.1180.89","Windows NT 6.1","98.223.140.23",1,"Thanks"
26,"668202879","A12NR8I2E6YJ06",2012-9-19 16:29,2012-9-19 16:42,815,372,29,"3f2jk9","",1,1,1,3,3,3,6,10,"Civic",3,8,4,2,,4,,,,,,,,,,4,,,,,,,,,,,,,,,,2,1,1,1,3,1,2,3,3,3,1,2,3,3,2,3,5,4,4,5,3,5,3,3,3,4,1,0,0,0,0,1,0,0,0,0,2,2,2,2,2,1,0,0,0,0,0,0,0,0,3,10,21,14,5,7,2,5,42,"98087",3,3,2,5,,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.83 Safari/537.1","Chrome 21.0.1180.83","Windows XP) AppleWebKit/537.1 (KHTML, like Gecko","140.142.73.206",1,"n/a"
27,"142386941","AJTI3FEUYLGVC",2012-9-19 21:41,2012-9-19 21:50,534,375,32,"3f2jk9","",1,1,1,3,3,3,6,23,"XC90",3,4,3,3,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,2,1,3,1,1,2,2,1,1,1,2,2,2,2,1,1,4,4,5,5,4,5,2,3,5,5,1,0,0,0,0,1,2,3,4,0,3,1,5,4,1,1,0,3,0,0,0,0,0,0,2,8,6,23,3,9,1,5,30,"08055",5,4,2,5,,"Mozilla/5.0 (Windows NT 6.0; rv:15.0) Gecko/20100101 Firefox/15.0.1","Firefox 15.0.1","Windows Vista","173.61.49.138",1,""
28,"260377824","A2WJ7NTZCDSDY6",2012-9-20 01:49,2012-9-20 01:57,468,377,34,"3f2jk9","",1,1,1,2,4,1,1,24,"Jeep Cherokee",3,2,4,2,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,2,3,3,2,1,3,3,1,3,1,2,3,1,3,2,2,4,4,5,3,4,4,4,2,4,3,1,0,0,0,0,1,2,3,0,0,1,1,2,2,1,0,0,3,0,0,0,0,0,0,2,8,21,6,4,3,1,2,44,"99004",3,1,1,5,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.57.2 (KHTML, like Gecko) Version/5.1.7 Safari/534.57.2","Safari 534.57.2","Macintosh","98.125.160.194",1,""
