"sys_SequentialRespondentNumber","sys_StartTime","sys_EndTime","sys_ElapsedTime","sys_InternalRespNum","sys_CBCVersion_CBC","mtwid","consent1_1","consent2_1","consent3_1","pastbuyer","futurebuyer","primarybuyer","quota","CarMake","CarModel","VehicleOwnership","dailyvmt","annualvmt","carsizeselect","carimagesmall","carimagemid","carimagelarge","Topcarsmall_1","Topcarsmall_2","Topcarsmall_3","Topcarsmall_4","Topcarsmall_5","Topcarsmall_6","Topcarsmall_7","Topcarsmall_8","Topcarmid_1","Topcarmid_2","Topcarmid_3","Topcarmid_4","Topcarmid_5","Topcarmid_6","Topcarmid_7","Topcarmid_8","Topcarlarge_1","Topcarlarge_2","Topcarlarge_3","Topcarlarge_4","Topcarlarge_5","Topcarlarge_6","Topcarlarge_7","Topcarlarge_8","CBCFIX1","CBCRAN1","CBCRAN2","CBCRAN3","CBCRAN4","CBCRAN5","CBCRAN6","CBCRAN7","CBCRAN8","CBCRAN9","CBCRAN10","CBCRAN11","CBCRAN12","CBCRAN13","CBCRAN14","CBCRAN15","productuseratings_r1","productuseratings_r2","productuseratings_r3","productuseratings_r4","productuseratings_r5","productuseratings_r6","EnvLifeRatings_r1","EnvLifeRatings_r2","EnvLifeRatings_r3","EnvLifeRatings_r4","DrivingTypeExper_1","DrivingTypeExper_2","DrivingTypeExper_3","DrivingTypeExper_4","DrivingTypeExper_5","consideration_1","consideration_2","consideration_3","consideration_4","consideration_5","parkingHomeGarage","parkingHomeStructure","parkingHomeDriveway","parkingHomeStreet","parkingHomeOther","slowchargingaccess_1","slowchargingaccess_2","slowchargingaccess_3","slowchargingaccess_4","slowchargingaccess_5","slowchargingaccess_6","slowchargingaccess_7","slowchargingaccess_8","slowchargingaccess_9","fastchargingaccess","brandrank1","brankrank2","brandrank3","maintenance","income","sex","householdsize","YOB","zipcode","education","children","marriage","sys_RespStatus","sys_DispositionCode","sys_UserAgent","sys_Browser","sys_OperatingSystem","sys_IPAddress","sys_UserJavaScript","comments","enthusiast"
1,2013-2-15 23:14,2013-2-15 23:23,566,959450,30,"",1,1,1,2,2,1,1,25,"Jeep Grand Cherokee",4,2,5,2,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,2,1,2,1,2,1,1,3,2,3,1,1,2,2,3,2,4,4,5,5,2,4,4,3,2,1,1,2,0,0,0,1,2,3,4,0,3,7,3,1,1,1,0,0,0,0,0,0,0,0,3,5,25,10,2,10,2,2,15,"15025",6,4,5,5,,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C)","MSIE 8.0","Windows NT 6.1","127.0.0.1",1,"",2
2,2013-2-16 19:08,2013-2-16 19:16,486,587038,887,"",1,1,1,3,2,3,4,22,"sienna xle",4,3,8,1,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,1,3,1,2,2,1,1,1,1,2,2,3,3,5,3,5,3,1,3,4,2,2,2,1,0,0,0,0,1,0,0,0,0,2,6,5,4,6,1,0,0,0,0,0,0,0,0,2,3,17,2,3,11,1,3,23,"15068",4,4,2,5,,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C)","MSIE 8.0","Windows NT 6.1","127.0.0.1",1,"",1
3,2013-2-16 17:24,2013-2-16 17:33,553,809313,984,"",1,1,1,1,3,1,5,4,"328i",2,4,6,2,,8,,,,,,,,,,8,,,,,,,,,,,,,,,,2,3,2,1,1,3,3,1,2,3,3,2,3,2,1,1,5,4,4,5,2,4,4,4,5,5,1,2,0,0,0,1,2,0,0,0,1,1,3,6,6,1,0,0,0,0,0,0,0,0,3,25,4,18,4,2,2,1,43,"15217",6,1,1,5,,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C)","MSIE 8.0","Windows NT 6.1","127.0.0.1",1,"",1
4,2013-2-16 16:40,2013-2-16 16:52,704,970703,89,"",1,1,1,3,3,1,5,25,"Grand Am",3,6,4,2,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,3,1,2,1,1,2,1,1,1,1,2,2,2,2,1,1,4,5,4,,3,4,3,3,3,3,1,2,0,0,0,1,2,0,0,0,1,1,5,1,1,0,0,0,0,0,0,0,0,0,3,13,15,12,5,2,2,2,22,"15436",4,4,2,5,,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C)","MSIE 8.0","Windows NT 6.1","127.0.0.1",1,"",1
5,2013-2-16 17:34,2013-2-16 17:43,543,1092920,419,"",1,1,1,2,2,1,1,11,"Pilot",3,4,6,2,,4,,,,,,,,,,4,,,,,,,,,,,,,,,,1,1,1,1,3,2,2,1,1,3,3,1,1,1,1,1,4,5,5,5,4,4,3,3,4,4,1,0,0,0,0,0,2,0,0,0,3,1,3,1,1,1,0,3,0,0,0,7,0,0,3,11,2,22,4,11,2,4,29,"15644",6,3,2,5,,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C)","MSIE 8.0","Windows NT 6.1","127.0.0.1",1,"",3
6,2013-2-16 18:37,2013-2-16 18:44,415,1291590,156,"",1,1,1,2,3,3,2,7,"Cavalier",3,6,8,2,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,2,2,3,3,3,1,3,1,3,2,2,1,2,3,2,2,4,4,5,5,4,4,2,3,4,4,1,0,0,0,0,1,2,3,4,0,2,1,4,4,1,1,0,3,4,0,0,0,0,0,1,7,22,10,4,5,2,3,37,"15235",6,3,1,5,,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C)","MSIE 8.0","Windows NT 6.1","127.0.0.1",1,"",2
7,2013-2-15 23:52,2013-2-16 00:24,1936,595503,187,"",1,1,1,2,2,1,1,23,"jetta station tdi",4,4,9,3,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,3,1,3,2,1,2,1,2,2,1,2,1,1,2,3,1,5,5,4,4,3,4,3,5,5,5,1,2,0,0,0,0,2,3,4,0,3,2,6,3,1,1,0,0,0,0,0,0,0,0,1,23,16,7,5,8,1,1,,"",,1,1,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0","Firefox 12.0","Windows NT 6.1","127.0.0.1",1,"",1
8,2013-2-15 23:27,2013-2-15 23:37,609,689385,784,"",1,1,1,3,3,1,5,25,"tc",2,9,6,2,,6,,,,,,,,,,6,,,,,,,,,,,,,,,,2,2,2,2,2,3,3,2,2,1,1,3,3,2,3,1,5,5,5,5,3,5,3,1,1,2,1,0,0,0,0,1,2,3,0,0,2,1,2,6,6,1,0,3,0,0,0,0,0,0,1,22,2,4,3,6,2,1,43,"16066",6,1,1,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0","Firefox 12.0","Windows NT 6.1","127.0.0.1",1,"",3
9,2013-2-16 18:33,2013-2-16 18:45,699,599286,142,"",1,1,1,3,3,3,6,7,"Impala",4,7,9,2,,5,,,,,,,,,,5,,,,,,,,,,,,,,,,2,3,2,2,2,2,2,3,2,1,3,2,1,3,1,3,4,5,4,5,4,3,3,2,1,1,1,2,0,4,0,0,0,0,0,0,1,1,3,1,3,0,0,3,0,0,0,0,0,0,2,7,9,5,2,10,1,3,31,"21545",6,2,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0","Firefox 12.0","Windows NT 6.1","127.0.0.1",1,"Difficult decisions here....sometimes there was not a clearly great choice! I normally drive over 250 miles on weekends to see family, so a 75-mile range would not be a great choice for me.",1
10,2013-2-16 18:52,2013-2-16 19:04,729,634590,867,"",1,1,1,3,2,3,4,5,"Park Avenue",3,9,9,2,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,2,2,2,1,1,2,3,3,1,1,3,1,2,3,1,1,3,3,3,3,3,3,3,3,3,3,1,0,0,0,0,1,2,0,0,0,3,7,4,6,7,1,0,0,0,0,0,0,0,0,3,3,7,4,5,7,1,2,7,"15122",3,1,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0","Firefox 12.0","Windows NT 6.1","127.0.0.1",1,"",2
11,2013-2-16 18:03,2013-2-16 18:11,522,818945,122,"",1,1,1,3,3,3,6,8,"Town & Country",3,2,4,1,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,1,3,1,1,2,1,3,3,1,1,1,3,3,4,4,5,5,4,1,3,3,4,1,0,0,0,0,1,2,0,0,0,1,1,1,3,1,0,0,0,0,0,0,0,0,0,2,7,8,10,5,12,2,4,31,"15",,,,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0","Firefox 12.0","Windows NT 6.1","127.0.0.1",1,"",
12,2013-2-17 19:47,2013-2-17 19:57,601,677170,293,"",1,1,1,3,2,1,3,8,"Durango",3,3,2,1,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,2,3,2,2,2,3,3,3,3,2,1,2,2,5,4,5,5,2,3,3,3,4,4,1,2,0,0,0,1,2,3,0,0,3,1,3,1,6,1,0,0,0,0,0,0,0,0,3,16,4,2,2,12,1,3,29,"15206",5,2,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0","Firefox 12.0","Windows NT 6.1","127.0.0.1",1,"",1
13,2013-2-17 19:12,2013-2-17 19:24,724,1242194,101,"",1,1,1,3,3,1,5,7,"trailblazer",3,9,9,3,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,2,2,1,2,2,2,1,2,2,1,3,3,1,2,3,2,4,5,4,4,2,4,4,,1,,1,2,0,0,0,1,2,0,0,0,3,1,3,3,1,1,0,3,0,0,0,0,0,0,2,10,9,8,3,11,1,1,21,"15238",6,1,1,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0","Firefox 12.0","Windows NT 6.1","127.0.0.1",1,"I'll WALK before I ever buy a Chinese car.",1
14,2013-2-17 20:00,2013-2-17 20:10,611,1254959,732,"",1,1,1,2,2,3,2,16,"ml350",4,9,3,2,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,3,2,2,2,3,2,2,1,3,1,3,1,2,2,3,3,,,5,,,,,,,,1,0,0,0,0,1,0,0,0,0,3,3,3,3,3,1,0,0,0,0,0,0,0,0,1,6,16,5,1,12,2,8,14,"15237",5,6,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0","Firefox 12.0","Windows NT 6.1","127.0.0.1",1,"",1
15,2013-2-16 00:18,2013-2-16 00:32,833,593276,99,"",1,1,1,2,2,1,1,20,"Forester",4,8,4,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,3,2,3,3,2,3,2,2,2,1,2,2,3,5,3,4,5,4,5,4,3,3,3,1,0,0,0,0,1,0,0,0,0,3,2,3,3,3,1,0,3,0,0,0,0,0,0,3,18,20,23,5,11,1,3,15,"15642",6,3,2,5,,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)","MSIE 9.0","Windows NT 6.1","127.0.0.1",1,"good survey",1
16,2013-2-15 22:40,2013-2-15 22:52,728,1210047,134,"",1,1,1,2,2,1,1,8,"Jeep Grand Cherokee",4,6,7,3,,,5,,,,,,,,,,,,,,,,,5,,,,,,,,2,3,1,2,1,2,2,1,1,3,1,2,3,3,2,2,4,4,5,4,5,4,3,2,2,5,1,2,0,4,0,1,2,0,0,0,5,1,6,1,6,1,0,3,0,5,0,0,0,0,2,2,22,16,5,11,1,4,19,"15317",5,3,2,5,,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)","MSIE 9.0","Windows NT 6.1","127.0.0.1",1,"",1
17,2013-2-15 22:57,2013-2-15 23:05,448,1299468,288,"",1,1,1,2,4,3,2,11,"oddysey",4,3,9,2,,6,,,,,,,,,,6,,,,,,,,,,,,,,,,2,1,2,2,3,2,3,3,2,1,2,2,2,3,1,2,5,5,5,5,3,3,1,3,4,4,1,0,0,0,0,0,2,3,0,0,3,7,6,1,7,1,0,0,0,0,0,0,0,0,2,11,20,22,3,11,2,4,24,"15626",6,3,2,5,,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)","MSIE 9.0","Windows NT 6.1","127.0.0.1",1,"",3
18,2013-2-16 20:40,2013-2-16 20:54,831,537604,804,"",1,1,1,1,2,1,3,9,"Taurus",2,3,4,1,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,3,3,1,2,1,2,1,1,1,2,2,3,5,5,5,5,1,5,4,1,4,4,1,0,0,0,0,1,0,3,0,0,2,1,3,2,1,1,0,3,4,0,0,0,0,0,3,7,22,10,4,6,2,3,32,"15137",6,1,1,5,,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)","MSIE 9.0","Windows NT 6.1","127.0.0.1",1,"",2
19,2013-2-16 16:58,2013-2-16 17:04,368,555289,948,"",1,1,1,3,2,3,4,13,"Sorento",4,9,9,3,,,6,,,,,,,,,,,,,,,,,6,,,,,,,,3,2,3,3,3,3,3,1,1,2,3,2,3,1,3,3,4,5,5,5,3,5,4,1,1,1,1,0,0,0,0,1,0,0,0,0,3,5,5,4,3,1,0,0,0,0,0,0,0,0,2,10,8,13,1,11,1,4,20,"15473",5,3,2,5,,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)","MSIE 9.0","Windows NT 6.1","127.0.0.1",1,"",1
20,2013-2-16 15:51,2013-2-16 15:59,428,604960,199,"",1,1,1,3,2,1,3,7,"Trailblazer",3,8,9,2,,7,,,,,,,,,,7,,,,,,,,,,,,,,,,2,1,1,2,2,1,3,3,2,2,2,3,1,3,2,1,4,3,5,4,1,3,2,3,3,2,1,2,0,0,0,1,2,0,0,0,2,1,3,1,1,1,0,0,0,0,0,0,0,0,3,6,10,7,4,11,1,2,39,"150",,,,5,,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)","MSIE 9.0","Windows NT 6.1","127.0.0.1",1,"",
21,2013-2-16 18:37,2013-2-16 18:43,404,745119,121,"",1,1,1,2,4,3,2,22,"4Runner",4,5,4,2,,6,,,,,,,,,,6,,,,,,,,,,,,,,,,2,2,1,1,1,2,3,3,1,1,2,3,1,3,1,3,5,4,5,5,3,5,5,3,3,4,1,0,0,0,0,1,2,0,0,0,3,7,6,6,6,0,0,0,0,0,0,0,0,0,2,22,18,1,5,11,1,4,50,"26301",5,1,1,5,,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)","MSIE 9.0","Windows NT 6.1","127.0.0.1",1,"",1
22,2013-2-16 18:19,2013-2-16 18:31,739,813523,247,"",1,1,1,3,3,3,6,9,"Flex",4,7,6,3,,,4,,,,,,,,,,,,,,,,,4,,,,,,,,2,3,3,2,1,3,1,3,3,2,1,1,1,1,2,1,4,3,4,4,1,4,2,4,4,4,1,2,3,0,0,1,2,3,0,0,3,1,2,2,1,1,0,3,4,0,0,0,0,0,3,9,11,22,3,11,1,4,21,"43964",4,3,2,5,,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)","MSIE 9.0","Windows NT 6.1","127.0.0.1",1,"Like to go to a hybrid but the price has always been too high",1
23,2013-2-16 20:12,2013-2-16 20:23,713,831217,390,"",1,1,1,3,3,3,6,9,"Escape",3,5,9,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,3,1,2,3,3,2,3,2,3,2,3,2,5,5,4,5,1,5,4,3,5,5,1,0,0,0,0,1,2,0,0,0,3,1,6,3,1,1,0,0,0,0,0,0,0,0,3,9,12,15,4,5,2,2,48,"15106",5,1,1,5,,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)","MSIE 9.0","Windows NT 6.1","127.0.0.1",1,"",2
24,2013-2-16 18:52,2013-2-16 18:53,55,951799,,"",1,1,1,3,4,3,-1,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,4,,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)","MSIE 9.0","Windows NT 6.1","127.0.0.1",1,"",
25,2013-2-16 16:42,2013-2-16 16:51,501,1146260,540,"",1,1,1,3,2,1,3,1,"",1,9,7,3,,,7,,,,,,,,,,,,,,,,,7,,,,,,,,2,2,2,3,3,1,2,2,2,2,3,2,1,3,2,3,5,5,5,5,2,3,3,3,4,4,1,0,0,0,0,1,2,0,4,0,1,1,1,1,6,0,0,0,0,0,0,0,0,0,3,11,22,18,2,5,2,5,41,"26574",5,5,3,5,,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)","MSIE 9.0","Windows NT 6.1","127.0.0.1",1,"",2
26,2013-2-16 18:48,2013-2-16 18:49,86,1156693,,"",1,1,1,3,4,3,-1,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,4,,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)","MSIE 9.0","Windows NT 6.1","127.0.0.1",1,"",
27,2013-2-16 15:39,2013-2-16 15:48,535,1423995,30,"",1,1,1,3,2,3,4,11,"odyssey",4,5,7,1,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,2,1,1,3,3,3,3,3,1,2,2,3,1,4,4,5,4,4,5,3,4,5,5,1,0,0,0,0,1,2,0,0,0,1,1,5,1,1,0,0,3,0,0,0,7,0,0,2,7,11,8,4,12,1,5,27,"15009",4,4,2,5,,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)","MSIE 9.0","Windows NT 6.1","127.0.0.1",1,"",1
