RespNum,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_InternalRespNum,sys_CBCVersion_CBC,mtwid,consent1_1,consent2_1,consent3_1,pastbuyer,futurebuyer,primarybuyer,quota,CarMake,CarModel,VehicleOwnership,dailyvmt,annualvmt,carsizeselect,carimagesmall,carimagemid,carimagelarge,Topcarsmall_1,Topcarsmall_2,Topcarsmall_3,Topcarsmall_4,Topcarsmall_5,Topcarsmall_6,Topcarsmall_7,Topcarsmall_8,Topcarmid_1,Topcarmid_2,Topcarmid_3,Topcarmid_4,Topcarmid_5,Topcarmid_6,Topcarmid_7,Topcarmid_8,Topcarlarge_1,Topcarlarge_2,Topcarlarge_3,Topcarlarge_4,Topcarlarge_5,Topcarlarge_6,Topcarlarge_7,Topcarlarge_8,CBCFIX1,CBCRAN1,CBCRAN2,CBCRAN3,CBCRAN4,CBCRAN5,CBCRAN6,CBCRAN7,CBCRAN8,CBCRAN9,CBCRAN10,CBCRAN11,CBCRAN12,CBCRAN13,CBCRAN14,CBCRAN15,productuseratings_r1,productuseratings_r2,productuseratings_r3,productuseratings_r4,productuseratings_r5,productuseratings_r6,EnvLifeRatings_r1,EnvLifeRatings_r2,EnvLifeRatings_r3,EnvLifeRatings_r4,DrivingTypeExper_1,DrivingTypeExper_2,DrivingTypeExper_3,DrivingTypeExper_4,DrivingTypeExper_5,consideration_1,consideration_2,consideration_3,consideration_4,consideration_5,parkingHomeGarage,parkingHomeStructure,parkingHomeDriveway,parkingHomeStreet,parkingHomeOther,slowchargingaccess_1,slowchargingaccess_2,slowchargingaccess_3,slowchargingaccess_4,slowchargingaccess_5,slowchargingaccess_6,slowchargingaccess_7,slowchargingaccess_8,slowchargingaccess_9,fastchargingaccess,brandrank1,brankrank2,brandrank3,maintenance,income,sex,householdsize,YOB,zipcode,education,children,marriage,sys_RespStatus,sys_DispositionCode,sys_UserAgent,sys_Browser,sys_OperatingSystem,sys_IPAddress,sys_UserJavaScript,comments,enthusiast,SUVbuyer
25,2/16/13 20:14,2/16/13 20:22,517,1376878,105,NA,1,1,1,3,2,1,3,12,Tiburon GTV6,2,5,3,1,6,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,1,3,1,1,2,1,3,1,2,1,2,1,3,5,4,4,4,1,5,4,3,3,3,1,2,0,0,0,1,2,0,0,0,1,1,6,3,7,0,0,3,0,0,0,0,0,0,3,9,12,23,3,5,1,1,44,15461,6,1,1,5,NA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0,Firefox 12.0,Windows NT 6.1,127.0.0.1,1,NA,1,0
26,2/16/13 19:16,2/16/13 19:26,614,1427715,941,NA,1,1,1,2,3,1,1,13,soul,3,4,5,2,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,1,1,1,3,2,1,2,2,1,1,3,1,1,4,3,5,5,1,4,3,3,5,5,1,0,0,0,0,1,0,0,0,0,3,3,3,1,1,0,0,0,0,0,6,0,0,0,3,13,22,8,3,8,1,2,27,15317,3,1,2,5,NA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0,Firefox 12.0,Windows NT 6.1,127.0.0.1,1,NA,1,0
27,2/16/13 16:05,2/16/13 16:17,720,1435944,325,NA,1,1,1,3,2,1,3,22,Highlander,3,4,3,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,1,1,1,1,1,3,2,2,3,2,1,1,5,4,5,5,2,3,2,2,3,3,1,2,0,0,0,1,2,3,0,0,2,1,2,2,1,1,0,3,0,0,0,0,0,0,3,22,11,4,3,11,1,4,30,15237,6,3,2,5,NA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0,Firefox 12.0,Windows NT 6.1,127.0.0.1,1,Thanks for the candy.  Good luck with your research.,2,0
28,2/16/13 17:25,2/16/13 17:39,839,1508244,489,NA,1,1,1,2,4,3,2,4,135i,4,4,2,1,6,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,1,3,1,3,1,1,2,1,1,2,3,3,4,2,3,3,1,4,4,3,3,3,1,2,0,0,0,1,2,0,0,0,4,7,4,7,7,1,0,0,0,0,0,0,0,0,2,4,3,15,2,11,1,4,53,15143,2,1,1,5,NA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0,Firefox 12.0,Windows NT 6.1,127.0.0.1,1,NA,1,0
29,2/16/13 19:31,2/16/13 19:43,713,1513292,100,NA,1,1,1,2,4,1,1,17,eclipse gs,4,2,2,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,3,3,2,3,1,2,1,1,1,1,2,5,4,5,5,1,5,4,3,3,3,1,2,0,0,0,1,2,0,0,0,4,3,6,5,3,1,0,3,0,0,0,0,0,0,3,17,11,2,5,11,2,2,13,15601,5,3,NA,5,NA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0,Firefox 12.0,Windows NT 6.1,127.0.0.1,1,I love cars.  Sporty cars.,1,0
30,2/16/13 21:26,2/16/13 21:37,673,1649000,578,NA,1,1,1,3,3,3,6,20,legacy,4,4,5,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,1,2,1,2,2,2,2,1,2,2,1,3,2,4,3,5,5,1,5,3,1,5,NA,1,0,0,0,0,1,2,3,4,0,1,1,6,1,1,0,0,3,0,0,0,0,0,0,3,22,24,23,4,11,1,2,14,15642,2,2,2,5,NA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0,Firefox 12.0,Windows NT 6.1,127.0.0.1,1,NA,1,0
31,2/15/13 23:29,2/15/13 23:45,959,675805,567,NA,1,1,1,3,2,1,3,22,Sienna,4,8,9,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,3,2,1,2,1,3,2,3,3,3,1,2,2,5,4,5,4,1,2,1,1,3,4,1,2,0,0,0,1,2,3,4,0,3,1,6,1,1,1,0,0,0,0,0,0,0,0,2,22,7,25,1,12,2,5,19,15613,NA,NA,NA,5,NA,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,NA,NA,0
32,2/15/13 22:09,2/15/13 22:21,717,687755,863,NA,1,1,1,2,4,3,2,8,200,4,5,9,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,1,1,2,2,2,1,1,2,1,3,2,1,5,4,5,5,1,4,4,3,4,3,1,0,0,0,0,1,2,0,0,0,4,1,6,5,1,1,0,0,0,0,0,0,0,0,1,8,23,4,5,11,1,3,13,48439,6,4,2,5,NA,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,NA,1,0
33,2/15/13 21:56,2/15/13 22:07,635,760330,223,NA,1,1,1,2,4,1,1,16,SLK 350,4,4,7,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,1,1,1,3,1,1,3,1,1,3,1,1,1,3,4,5,4,4,5,5,3,4,4,1,0,0,0,0,1,2,3,4,0,3,2,3,1,1,1,0,0,0,0,0,0,0,0,3,16,4,3,1,11,1,2,35,15215,6,1,3,5,NA,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,NA,1,0
34,2/15/13 19:01,2/15/13 19:08,447,876655,365,NA,1,1,1,2,3,1,1,9,MKS,3,9,9,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,3,1,2,1,1,3,1,2,2,3,3,3,1,1,3,3,4,5,4,4,2,4,3,3,4,4,1,0,0,0,0,1,0,0,0,0,3,1,6,1,3,1,0,0,0,0,0,0,0,0,2,9,7,6,4,10,1,2,9,16066,6,4,4,5,NA,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,NA,2,0
35,2/15/13 22:26,2/15/13 22:37,706,948041,125,NA,1,1,1,3,3,1,5,7,Silverado,3,9,8,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,1,2,2,1,3,3,1,3,2,3,4,4,4,3,1,4,2,2,4,4,1,2,0,0,0,1,2,0,0,0,2,1,3,1,1,1,0,3,0,0,0,0,0,0,3,25,7,3,2,10,1,1,29,15666,7,1,1,5,NA,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,NA,1,0
36,2/15/13 23:49,2/15/13 23:57,486,1070405,589,NA,1,1,1,2,4,1,1,12,sonata hybrid,4,7,4,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,2,3,3,3,2,1,1,3,3,2,1,2,5,4,5,4,1,1,1,1,5,3,0,2,0,0,0,0,2,0,0,0,6,3,3,1,3,1,2,3,4,5,6,7,8,9,1,7,12,20,1,7,2,4,42,15136,4,3,2,5,NA,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,NA,1,0
37,2/15/13 21:41,2/15/13 21:54,727,1207378,723,NA,1,1,1,2,4,3,2,4,535,4,5,4,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,3,2,3,3,3,3,3,2,3,2,2,3,1,3,2,1,4,4,5,5,3,5,4,2,1,3,1,0,0,0,0,1,0,0,0,0,1,1,3,3,1,0,0,3,0,0,0,0,0,0,2,4,2,3,5,10,2,5,18,15474,3,5,2,5,NA,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,NA,1,0
38,2/15/13 21:04,2/15/13 21:20,947,1243422,729,NA,1,1,1,3,3,3,6,22,prius,3,3,7,2,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,1,3,1,1,1,2,3,2,1,2,1,1,4,4,5,5,1,5,3,4,4,4,1,2,0,0,0,1,2,3,4,0,3,1,1,1,1,1,0,0,0,0,0,0,0,0,3,22,7,9,1,11,1,2,5,15017,6,1,2,5,NA,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,good luck,1,0
39,2/15/13 19:55,2/15/13 20:09,800,1420174,47,NA,1,1,1,3,3,3,6,10,terrain,2,5,2,2,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,1,3,2,2,1,2,2,1,3,3,1,3,3,4,3,4,5,3,4,3,3,3,3,1,0,0,0,0,1,0,0,0,0,2,7,3,1,1,1,0,0,0,0,0,0,0,0,2,10,5,7,3,8,2,2,12,15227,5,1,6,5,NA,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,NA,1,0
40,2/16/13 15:15,2/16/13 15:24,534,685352,649,NA,1,1,1,3,2,1,3,2,TL,3,4,5,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,1,2,2,2,1,2,1,2,3,1,1,2,1,4,4,5,4,1,5,2,3,2,4,1,0,0,0,0,1,0,3,0,0,3,3,3,4,4,1,0,3,0,0,0,0,0,0,3,2,22,20,4,11,1,3,12,15090,5,2,2,5,NA,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,NA,1,0
41,2/16/13 19:38,2/16/13 19:51,772,745905,427,NA,1,1,1,3,2,1,3,16,s550,4,9,7,3,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,3,2,1,1,1,2,2,3,1,1,1,1,1,5,5,5,3,5,5,3,5,4,1,2,0,4,0,1,0,0,0,0,3,1,5,1,1,1,0,3,0,0,0,0,0,0,2,16,20,12,1,11,1,2,1,16201,7,5,4,5,NA,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,NA,1,0
42,2/16/13 18:59,2/16/13 19:12,770,762634,368,NA,1,1,1,2,4,1,1,20,Outback,3,3,3,2,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,2,2,2,3,3,1,1,2,2,3,3,2,3,4,5,5,5,1,4,2,2,4,1,1,0,0,0,0,0,2,0,0,0,3,2,3,1,1,1,0,3,0,0,0,0,0,0,3,20,11,2,4,11,1,2,35,15108,5,1,2,5,NA,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,NA,2,0
43,2/16/13 17:34,2/16/13 17:41,427,949847,172,NA,1,1,1,2,2,3,2,18,altima,2,6,7,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,2,2,2,2,3,3,2,3,2,3,2,3,1,3,3,5,5,3,4,3,NA,3,3,1,0,0,0,0,1,2,3,0,0,3,6,3,6,6,1,0,3,0,0,0,0,0,0,3,18,22,16,2,11,2,2,23,15239,5,1,2,5,NA,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,NA,2,0
44,2/16/13 17:11,2/16/13 17:21,617,996034,426,NA,1,1,1,3,3,3,6,9,mustang gt,4,4,2,3,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,2,1,3,2,2,1,2,2,2,3,3,2,5,2,5,2,5,5,4,1,1,4,1,2,0,0,0,1,2,0,0,0,2,7,6,7,5,0,0,0,0,0,0,0,0,0,2,9,8,6,4,5,1,4,52,26508,3,1,1,5,NA,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,NA,1,0
45,2/16/13 16:05,2/16/13 16:25,1181,1056190,177,NA,1,1,1,2,3,3,2,12,sante fe,4,4,5,2,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,3,3,1,1,1,1,2,1,1,1,1,3,4,4,4,5,5,5,5,2,2,3,1,0,0,0,0,1,2,0,0,0,6,3,6,3,3,1,0,3,0,0,0,0,0,0,2,24,9,12,2,7,1,3,4,16034,4,4,2,5,NA,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,NA,3,0
46,2/16/13 16:34,2/16/13 16:40,362,1147877,448,NA,1,1,1,2,4,1,1,9,C-Max SEL,3,5,3,2,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,2,1,3,2,1,2,1,2,2,2,1,1,4,4,5,5,1,5,3,2,4,4,1,2,3,4,0,0,2,3,4,0,3,1,4,3,3,0,2,0,0,0,6,7,8,9,1,9,22,11,4,11,2,2,44,15146,6,1,1,5,NA,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,NA,1,0
47,2/16/13 21:41,2/16/13 21:47,385,1198438,89,NA,1,1,1,1,2,1,3,1,NA,3,11,11,1,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,1,2,2,3,1,1,3,1,1,3,3,2,1,5,4,4,4,4,3,1,2,4,4,1,0,0,0,0,1,2,0,0,0,2,7,3,2,7,0,0,0,0,0,0,0,0,0,1,12,11,15,5,2,2,4,47,15227,4,1,1,5,NA,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,NA,2,0
48,2/16/13 17:43,2/16/13 17:54,620,1229358,428,NA,1,1,1,2,4,1,1,5,Regal,2,5,1,1,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,2,1,3,3,1,1,1,2,1,2,2,2,2,4,4,4,4,4,4,4,3,3,3,1,0,3,0,0,1,0,3,0,0,1,6,6,6,6,0,0,0,0,0,0,7,0,0,1,5,7,6,5,10,1,1,48,48038,6,1,1,5,NA,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,NA,1,0
49,2/16/13 20:25,2/16/13 20:36,636,1236146,30,NA,1,1,1,3,2,1,3,16,SLK 350,3,5,2,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,2,2,2,1,3,3,2,1,3,1,3,3,1,3,4,5,5,3,5,5,4,5,4,1,2,3,4,0,1,2,3,4,0,3,2,5,1,1,1,0,0,0,0,0,0,0,0,3,16,4,25,5,12,1,1,19,15222,7,1,1,5,NA,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,NA,1,0
50,2/16/13 19:52,2/16/13 20:05,727,1251100,721,NA,1,1,1,2,3,3,2,12,elantra touring,3,8,9,1,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,2,3,2,2,2,3,2,1,3,1,3,3,1,5,5,5,5,3,4,3,5,5,5,1,0,0,0,0,1,2,3,4,0,1,1,1,3,1,0,0,0,0,0,0,0,0,0,3,11,20,13,5,11,2,4,37,15218,6,3,2,5,NA,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,NA,2,0
51,2/16/13 19:14,2/16/13 19:31,995,1258192,547,NA,1,1,1,3,2,3,4,25,jeep wrangler,4,3,4,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2,1,3,3,2,3,1,1,1,2,2,1,3,2,1,2,5,4,5,4,3,4,3,3,4,3,1,0,0,0,0,1,2,3,0,0,1,2,6,3,1,0,0,3,0,0,0,0,0,0,3,20,11,22,5,8,3,3,13,15227,3,3,2,5,NA,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,NA,2,0
52,2/16/13 21:27,2/16/13 21:35,457,1273152,468,NA,1,1,1,2,3,1,1,11,Accord,2,9,9,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,1,3,2,3,3,1,3,3,3,3,1,2,1,3,3,5,4,4,4,5,1,1,1,1,2,3,4,0,1,0,0,0,0,3,2,2,2,2,0,0,0,0,0,0,0,0,0,2,11,22,4,1,11,1,3,50,16023,3,1,1,5,NA,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,NA,1,0
53,2/16/13 21:52,2/16/13 22:08,1000,1414438,947,NA,1,1,1,3,2,3,4,11,insight,4,4,4,1,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,3,3,2,1,3,2,2,1,2,3,2,3,5,3,5,4,1,3,2,3,4,4,1,2,0,0,0,1,2,0,0,0,3,1,6,1,7,1,0,0,0,0,0,7,0,0,3,22,11,9,4,12,1,2,5,15108,5,3,2,5,NA,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,NA,2,0
54,2/16/13 21:07,2/16/13 21:23,949,1577965,70,NA,1,1,1,3,3,3,6,7,cobalt,3,3,4,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,1,1,1,2,3,3,2,1,2,2,1,3,4,4,5,5,4,2,2,3,5,5,1,0,0,0,0,1,2,3,4,0,1,1,1,3,7,0,0,0,4,0,0,0,0,0,3,7,10,11,3,10,2,3,18,15212,5,3,2,5,NA,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,NA,2,0
55,2/17/13 19:54,2/17/13 20:05,661,600926,63,NA,1,1,1,3,2,1,3,24,xc90,4,9,9,3,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,2,1,3,1,1,3,3,1,2,3,2,3,2,1,3,3,5,4,5,4,1,4,3,1,1,1,1,0,0,0,0,1,2,0,0,0,3,1,1,1,1,1,0,0,0,0,0,7,0,0,2,16,24,2,2,11,1,5,21,15090,7,4,2,5,NA,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,NA,2,0
56,2/17/13 19:16,2/17/13 19:26,593,1490374,976,NA,1,1,1,3,2,1,3,18,maxima,4,3,4,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,3,3,1,2,2,2,2,2,1,2,1,3,4,3,5,5,1,4,3,2,4,4,1,2,0,4,0,1,2,0,0,0,3,1,2,2,2,1,0,0,0,0,0,0,0,0,3,18,12,11,3,11,1,3,11,15146,5,2,2,5,NA,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,NA,2,0
57,2/17/13 19:36,2/17/13 19:46,644,1509647,243,NA,1,1,1,3,3,3,6,15,5,3,5,3,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,3,1,3,3,2,2,2,1,3,3,2,1,5,4,4,5,2,4,1,2,5,4,1,0,0,0,0,1,2,3,0,0,3,1,6,1,1,1,0,3,0,0,0,0,0,0,3,9,15,4,3,8,2,4,27,16066,5,3,2,5,NA,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,NA,2,0
58,2/16/13 21:52,2/16/13 22:02,649,676933,126,NA,1,1,1,3,3,3,6,4,NA,4,5,6,1,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,2,1,3,1,3,2,2,1,3,2,2,2,4,3,5,4,1,5,3,2,3,4,1,2,0,0,0,1,0,0,0,0,3,1,6,6,1,1,0,0,0,0,0,0,0,0,2,4,18,3,2,11,2,5,23,15601,5,4,2,5,NA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11",Chrome 20.0.1132.57,Windows NT 6.1,127.0.0.1,1,NA,2,0
